imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
6,BRISK,2886,FREAK,916,12.6787,16.8726
7,BRISK,2886,FREAK,887,11.9844,16.947
8,BRISK,2893,FREAK,926,13.1241,23.5061
9,BRISK,2930,FREAK,908,13.0241,15.6565
10,BRISK,3022,FREAK,896,11.1746,13.8477
11,BRISK,3013,FREAK,902,12.8086,12.8188
12,BRISK,2949,FREAK,912,8.95978,12.8984
13,BRISK,3012,FREAK,908,9.96439,11.7792
14,BRISK,3026,FREAK,905,9.59863,11.2328
15,BRISK,3074,FREAK,964,8.57352,13.1804
16,BRISK,3131,FREAK,905,9.51617,10.77
17,BRISK,3135,FREAK,1020,9.54658,9.7009
18,BRISK,3146,FREAK,1040,8.3988,10.3047
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,SHITOMASI,1723,FREAK,,,
1,SHITOMASI,1759,FREAK,484,12.5156,13.8833
2,SHITOMASI,1820,FREAK,553,12.6142,13.5599
3,SHITOMASI,1850,FREAK,542,14.091,14.7151
4,SHITOMASI,1828,FREAK,517,16.6894,12.5334
5,SHITOMASI,1806,FREAK,535,15.9082,12.8187
6,SHITOMASI,1877,FREAK,498,12.6787,18.3504
7,SHITOMASI,1894,FREAK,517,11.9844,20.102
8,SHITOMASI,1889,FREAK,550,13.1241,12.9008
9,SHITOMASI,1917,FREAK,547,13.0241,12.0033
10,SHITOMASI,1874,FREAK,520,11.1746,13.4726
11,SHITOMASI,1912,FREAK,531,12.8086,11.7502
12,SHITOMASI,1930,FREAK,506,8.95978,13.5881
13,SHITOMASI,1880,FREAK,503,9.96439,13.0977
14,SHITOMASI,1886,FREAK,536,9.59863,12.0086
15,SHITOMASI,1957,FREAK,535,8.57352,11.1303
16,SHITOMASI,1888,FREAK,542,9.51617,11.3227
17,SHITOMASI,1919,FREAK,558,9.54658,12.6391
18,SHITOMASI,2055,FREAK,569,8.3988,7.15473
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,HARRIS,115,FREAK,,,
1,HARRIS,209,FREAK,52,12.5156,8.69538
2,HARRIS,114,FREAK,68,12.6142,10.195
3,HARRIS,178,FREAK,53,14.091,nan
4,HARRIS,250,FREAK,64,16.6894,12.5101
5,HARRIS,241,FREAK,93,15.9082,13.3698
6,HARRIS,259,FREAK,88,12.6787,13.5599
7,HARRIS,272,FREAK,98,11.9844,11.7285
8,HARRIS,193,FREAK,82,13.1241,12.3725
9,HARRIS,129,FREAK,62,13.0241,nan
10,HARRIS,248,FREAK,51,11.1746,10.2931
11,HARRIS,147,FREAK,78,12.8086,11.8135
12,HARRIS,168,FREAK,62,8.95978,11.1055
13,HARRIS,181,FREAK,67,9.96439,nan
14,HARRIS,144,FREAK,67,9.59863,nan
15,HARRIS,243,FREAK,63,8.57352,-inf
16,HARRIS,213,FREAK,85,9.51617,6.71705
17,HARRIS,126,FREAK,62,9.54658,11.1009
18,HARRIS,158,FREAK,55,8.3988,-inf
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,FAST,5275,FREAK,,,
1,FAST,5291,FREAK,1246,12.5156,12.1811
2,FAST,5202,FREAK,1268,12.6142,15.3106
3,FAST,5090,FREAK,1253,14.091,13.7671
4,FAST,5118,FREAK,1202,16.6894,13.0796
5,FAST,5180,FREAK,1317,15.9082,13.1518
6,FAST,5192,FREAK,1180,12.6787,12.2276
7,FAST,5177,FREAK,1174,11.9844,12.4514
8,FAST,5176,FREAK,1263,13.1241,12.6567
9,FAST,5225,FREAK,1187,13.0241,13.3156
10,FAST,5331,FREAK,1163,11.1746,13.6066
11,FAST,5351,FREAK,1306,12.8086,12.0003
12,FAST,5244,FREAK,1265,8.95978,13.2171
13,FAST,5231,FREAK,1197,9.96439,12.8307
14,FAST,5286,FREAK,1244,9.59863,12.0915
15,FAST,5464,FREAK,1300,8.57352,10.0177
16,FAST,5464,FREAK,1344,9.51617,10.2088
17,FAST,5563,FREAK,1353,9.54658,10.5023
18,FAST,5497,FREAK,1351,8.3988,12.2282
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,ORB,500,FREAK,,,
1,ORB,500,FREAK,85,12.5156,10.8954
2,ORB,500,FREAK,95,12.6142,12.843
3,ORB,500,FREAK,100,14.091,12.2284
4,ORB,500,FREAK,115,16.6894,10.8492
5,ORB,500,FREAK,90,15.9082,-inf
6,ORB,500,FREAK,109,12.6787,10.6765
7,ORB,500,FREAK,108,11.9844,-inf
8,ORB,500,FREAK,120,13.1241,10.7376
9,ORB,500,FREAK,120,13.0241,13.47
10,ORB,500,FREAK,110,11.1746,-inf
11,ORB,500,FREAK,131,12.8086,6.46748
12,ORB,500,FREAK,130,8.95978,12.1787
13,ORB,500,FREAK,118,9.96439,6.24379
14,ORB,500,FREAK,127,9.59863,27.8458
15,ORB,500,FREAK,139,8.57352,8.68802
16,ORB,500,FREAK,116,9.51617,6.71697
17,ORB,500,FREAK,114,9.54658,11.3219
18,ORB,500,FREAK,116,8.3988,4.28535
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,AKAZE,1513,FREAK,,,
1,AKAZE,1541,FREAK,591,12.5156,11.9823
2,AKAZE,1529,FREAK,630,12.6142,15.7714
3,AKAZE,1561,FREAK,635,14.091,14.6828
